vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
1085.444308,295.2582886,1059.775571,1505.111192,1077.317951,1542.280781,1104.734057,288.2865893,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-19.0444076,-6.772825532,12.27158207,613.5791036
1085.580281,295.394268,1059.775563,1505.111181,1077.366277,1542.329103,1104.734049,288.2865873,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-19.03041328,-6.760480454,12.26993283,613.4966416
1085.716155,295.5301468,1059.775555,1505.111171,1077.414514,1542.377337,1104.734041,288.2865852,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-19.01626108,-6.747984927,12.26827616,613.4138081
1085.848191,295.5641025,1059.775547,1505.209244,1077.466492,1542.389313,1104.734031,288.3265164,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-18.22588487,-7.541697867,10.684187,534.2093501
1085.976647,295.598058,1059.77554,1505.30374,1077.52205,1542.401352,1104.734023,288.3700296,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-17.4814262,-8.289284334,9.192141868,459.6070933
1086.098186,295.5980559,1059.775532,1505.425275,1077.584619,1542.401341,1104.734015,288.4326041,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-16.55144987,-9.232156513,7.319293366,365.9646682
1086.213374,295.5980538,1059.775525,1505.54046,1077.653628,1542.40133,1104.734007,288.5016191,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-15.70354173,-10.09261292,5.610928812,280.5464405
1086.322774,295.5980516,1059.775517,1505.649857,1077.728515,1542.401319,1104.733999,288.5765116,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-14.93048552,-10.87786998,4.052615543,202.630777
1086.426895,295.5980495,1059.775509,1505.753975,1077.808766,1542.401308,1104.733991,288.656768,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-14.22569821,-11.59451093,2.63118729,131.5593644
1086.526205,295.5980474,1059.775502,1505.853282,1077.893912,1542.401297,1104.733983,288.7419197,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-13.58317441,-12.24854135,1.334633061,66.73165292
1086.621128,295.5980453,1059.775494,1505.948202,1077.983525,1542.401286,1104.733975,288.831539,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-12.99743565,-12.84543989,0.151995764,7.599788071
1086.712052,295.5980432,1059.775487,1506.039123,1078.077216,1542.401275,1104.733967,288.9252357,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-12.46348422,-13.39020449,-0.926720261,-46.33601317
1086.799331,295.5980411,1059.775479,1506.126399,1078.174629,1542.401264,1104.73396,289.0226536,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-11.97676093,-13.88739454,-1.910633605,-95.53168037
1086.883287,295.598039,1059.775472,1506.210352,1078.275437,1542.401253,1104.733952,289.1234679,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-11.53310663,-14.34116939,-2.808062749,-140.4031376
1086.964214,295.5980369,1059.775464,1506.291276,1078.379346,1542.401242,1104.733944,289.2273819,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-11.12872716,-14.75532343,-3.626596269,-181.3298136
1087.042381,295.5980347,1059.775456,1506.36944,1078.486083,1542.401231,1104.733936,289.3341249,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.76016125,-15.13331814,-4.37315688,-218.6578441
1087.118032,295.5980326,1059.775449,1506.445088,1078.595403,1542.40122,1104.733928,289.4434501,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.42425139,-15.47831126,-5.054059867,-252.7029935
1087.19139,295.5980305,1059.775441,1506.518443,1078.707079,1542.401209,1104.73392,289.555132,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.1181171,-15.79318348,-5.675066376,-283.7533189
1087.262658,295.5980284,1059.775434,1506.589708,1078.820906,1542.401198,1104.733912,289.6689647,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.8391307,-16.08056275,-6.241432046,-312.0716024
1087.332022,295.5980263,1059.775426,1506.659069,1078.936696,1542.401187,1104.733904,289.7847605,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.584895056,-16.34284642,-6.757951355,-337.8975679
1087.39965,295.5980242,1059.775419,1506.726694,1079.054278,1542.401176,1104.733896,289.902348,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.353223397,-16.5822215,-7.228998095,-361.4499049
1087.465697,295.5980221,1059.775411,1506.792738,1079.173495,1542.401165,1104.733889,290.0215706,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.142120839,-16.80068312,-7.658562275,-382.9281139
1087.530303,295.59802,1059.775403,1506.857341,1079.294204,1542.401153,1104.733881,290.1422854,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.949767554,-17.00005136,-8.050283803,-402.5141903
1087.593596,295.5980179,1059.775396,1506.920632,1079.416275,1542.401142,1104.733873,290.264362,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.774503406,-17.18198662,-8.407483204,-420.3741603
1087.655693,295.5980157,1059.775388,1506.982726,1079.539589,1542.401131,1104.733865,290.3876814,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.614813944,-17.34800359,-8.733189642,-436.6594822
1087.7167,295.5980136,1059.775381,1507.04373,1079.664036,1542.40112,1104.733857,290.5121346,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.469317612,-17.49948411,-9.030166488,-451.5083245
1087.776714,295.5980115,1059.775373,1507.103741,1079.789519,1542.401109,1104.733849,290.6376224,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.336754095,-17.63768874,-9.300934641,-465.0467322
1087.835823,295.5980094,1059.775366,1507.162847,1079.915945,1542.401098,1104.733841,290.7640541,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.215973677,-17.76376748,-9.547793803,-477.3896903
1087.894108,295.5980073,1059.775358,1507.221128,1080.043232,1542.401087,1104.733833,290.8913468,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.105927537,-17.87876943,-9.772841889,-488.6420946
1087.951642,295.5980052,1059.77535,1507.278659,1080.171304,1542.401076,1104.733825,291.0194248,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.005658899,-17.98365164,-9.977992733,-498.8996368
1088.008491,295.5980031,1059.775343,1507.335505,1080.300093,1542.401065,1104.733817,291.148219,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.914294952,-18.0792872,-10.16499224,-508.2496121
1088.064716,295.598001,1059.775335,1507.391728,1080.429534,1542.401054,1104.73381,291.277666,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-7.831039485,-18.16647261,-10.33543312,-516.7716561
