vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
1085.487891,295.1801365,1059.810265,1505.099858,1077.355782,1542.277282,1104.780732,288.2077162,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-19.04858614,-6.773766633,12.27481951,613.6121158
1085.623894,295.3161457,1059.810258,1505.099847,1077.404114,1542.325611,1104.780724,288.2077141,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-19.03458904,-6.761419405,12.27316964,613.5296394
1085.759797,295.4520544,1059.81025,1505.099836,1077.452358,1542.373852,1104.780717,288.207712,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-19.02043402,-6.748921703,12.27151232,613.4467908
1085.891864,295.4860175,1059.810242,1505.197934,1077.504343,1542.385905,1104.780706,288.2476486,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-18.23000269,-7.542690626,10.68731207,534.2534089
1086.020349,295.5199804,1059.810234,1505.292452,1077.559908,1542.397946,1104.780698,288.2911674,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-17.48548302,-8.290338903,9.195144117,459.660676
1086.141916,295.5199783,1059.810227,1505.414016,1077.622485,1542.397935,1104.78069,288.3537498,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-16.55541956,-9.233300925,7.322118643,366.0290651
1086.257133,295.5199762,1059.810219,1505.529229,1077.691502,1542.397924,1104.780682,288.4227733,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-15.70741567,-10.09385572,5.613559953,280.6190669
1086.366559,295.5199741,1059.810212,1505.638653,1077.766399,1542.397913,1104.780674,288.4976751,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-14.93425729,-10.87921753,4.055039766,202.7094187
1086.470707,295.519972,1059.810204,1505.742798,1077.846659,1542.397902,1104.780666,288.5779415,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-14.22936326,-11.59596771,2.633395558,131.6421325
1086.570043,295.5199699,1059.810196,1505.842131,1077.931816,1542.397891,1104.780659,288.663104,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-13.58672977,-12.25011025,1.336619518,66.81694389
1086.664991,295.5199678,1059.810189,1505.937076,1078.021442,1542.39788,1104.780651,288.7527349,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-13.00087971,-12.84712246,0.153757253,7.686248166
1086.755939,295.5199657,1059.810181,1506.028021,1078.115145,1542.397869,1104.780643,288.846444,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-12.46681651,-13.39200114,-0.925184631,-46.2495194
