vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
1000,1000,1000,1000,1000,1000,1000,1000,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,-0.0005,-0.0005,4.33680868994202e-19,2.08166817117217e-17
999.99513,999.99513,999.9999942,999.99513,999.99513,999.99513,999.9999942,999.99513,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0.907898657,0.907898657,1.53987933515509e-13,7.69517782828189e-12
999.9878316,999.9943135,999.9999866,999.9878298,999.9878316,999.9942553,999.9999866,999.9878298,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.134128706,1.134128705,-1.16E-09,-5.36E-08
999.977296,999.9918743,999.9999795,999.9772942,999.977296,999.9918161,999.9999795,999.9772942,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.359884858,1.359884855,-2.21E-09,-1.06E-07
999.9675804,999.9918671,999.9999723,999.9675787,999.9675804,999.9918089,999.9999723,999.9675787,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.358470634,1.358470631,-3.54E-09,-1.73E-07
999.957875,999.99186,999.9999652,999.9578733,999.957875,999.9918018,999.9999652,999.9578733,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.357040182,1.357040178,-4.75E-09,-2.33E-07
999.9481799,999.9918529,999.999958,999.9481781,999.9481799,999.9917946,999.999958,999.9481781,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.355593538,1.355593532,-5.85E-09,-2.88E-07
999.9384952,999.9918457,999.9999509,999.9384934,999.9384952,999.9917875,999.9999509,999.9384934,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.354130735,1.354130728,-6.85E-09,-3.38E-07
999.928821,999.9918386,999.9999438,999.9288192,999.928821,999.9917804,999.9999438,999.9288192,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.352651809,1.352651802,-7.77E-09,-3.84E-07
999.9191574,999.9918314,999.9999366,999.9191556,999.9191574,999.9917732,999.9999366,999.9191556,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.351156796,1.351156788,-8.61E-09,-4.26E-07
999.9095045,999.9918243,999.9999295,999.9095027,999.9095045,999.9917661,999.9999295,999.9095027,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.349645731,1.349645722,-9.37E-09,-4.64E-07
999.8998625,999.9918171,999.9999223,999.8998607,999.8998625,999.9917589,999.9999223,999.8998607,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.34811865,1.34811864,-1.01E-08,-4.99E-07
999.8902314,999.99181,999.9999152,999.8902297,999.8902314,999.9917518,999.9999152,999.8902297,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.346575588,1.346575578,-1.07E-08,-5.31E-07
999.8806115,999.9918029,999.999908,999.8806097,999.8806115,999.9917446,999.999908,999.8806097,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.345016582,1.345016571,-1.13E-08,-5.60E-07
999.8710027,999.9917957,999.9999009,999.8710009,999.8710027,999.9917375,999.9999009,999.8710009,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.343441668,1.343441656,-1.18E-08,-5.86E-07
999.8614052,999.9917886,999.9998938,999.8614034,999.8614052,999.9917304,999.9998938,999.8614034,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.341850883,1.34185087,-1.23E-08,-6.10E-07
999.8518192,999.9917814,999.9998866,999.8518174,999.8518192,999.9917232,999.9998866,999.8518174,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.340244262,1.340244249,-1.27E-08,-6.32E-07
999.8422446,999.9917743,999.9998795,999.8422429,999.8422446,999.9917161,999.9998795,999.8422429,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.338621843,1.33862183,-1.31E-08,-6.52E-07
999.8326818,999.9917671,999.9998723,999.83268,999.8326818,999.9917089,999.9998723,999.83268,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.336983662,1.336983649,-1.35E-08,-6.70E-07
999.8231306,999.99176,999.9998652,999.8231289,999.8231306,999.9917018,999.9998652,999.8231289,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.335329758,1.335329744,-1.38E-08,-6.87E-07
999.8135914,999.9917529,999.999858,999.8135896,999.8135914,999.9916946,999.999858,999.8135896,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.333660166,1.333660152,-1.41E-08,-7.02E-07
999.8040641,999.9917457,999.9998509,999.8040624,999.8040641,999.9916875,999.9998509,999.8040624,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.331974924,1.33197491,-1.44E-08,-7.16E-07
