vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
921.1997399,640.6174077,921.6030262,1459.323475,936.5429188,1503.026818,930.290575,645.9756401,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-16.83934245,-8.145138726,8.694203723,434.7101862
921.319965,640.7376348,921.6030196,1459.323465,936.6010465,1503.084942,930.2905683,645.9756355,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-16.82552272,-8.132473474,8.693049243,434.6524622
921.4400908,640.8577626,921.603013,1459.323454,936.6590831,1503.142974,930.2905617,645.9756309,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-16.81155106,-8.119662783,8.691888271,434.5944136
921.5575818,640.8877789,921.6030053,1459.41092,936.7196395,1503.157375,930.2905523,646.0216871,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-16.27246352,-8.658007345,7.614456176,380.7228088
921.6726277,640.917795,921.6029987,1459.495941,936.7826203,1503.171864,930.2905457,646.0701706,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-15.76457735,-9.164951149,6.5996262,329.98131
921.782964,640.9177904,921.6029921,1459.606273,936.8503657,1503.171853,930.2905391,646.1379181,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-15.13142364,-9.805626846,5.325796797,266.2898399
921.8889769,640.9177858,921.6029856,1459.712283,936.922487,1503.171842,930.2905324,646.2100414,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-14.55403956,-10.39020171,4.163837845,208.1918923
921.9910473,640.9177813,921.602979,1459.814349,936.998601,1503.171832,930.2905258,646.2861575,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-14.02751716,-10.9235839,3.103933259,155.196663
922.0895225,640.9177767,921.6029724,1459.91282,937.078358,1503.171821,930.2905191,646.3659166,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-13.5473792,-11.41025093,2.137128268,106.8564135
922.1847192,640.9177721,921.6029658,1460.008013,937.1614389,1503.17181,930.2905125,646.4489996,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-13.10954128,-11.85428744,1.255253836,62.76269186
922.2769262,640.9177675,921.6029592,1460.100217,937.2475526,1503.1718,930.2905058,646.5351153,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-12.7102774,-12.25941968,0.450857718,22.54288595
922.366407,640.917763,921.6029526,1460.189694,937.3364333,1503.171789,930.2904992,646.6239981,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-12.34618851,-12.62904694,-0.282858433,-14.14292161
922.4534017,640.9177584,921.6029461,1460.276684,937.4278384,1503.171778,930.2904925,646.7154053,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-12.01417383,-12.96627027,-0.952096444,-47.60482211
922.5381294,640.9177538,921.6029395,1460.361408,937.5215467,1503.171767,930.2904859,646.8091157,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-11.71140467,-13.27391862,-1.56251396,-78.12569793
922.6207896,640.9177492,921.6029329,1460.444065,937.617356,1503.171757,930.2904793,646.9049271,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-11.43530055,-13.55457275,-2.1192722,-105.9636099
922.7015644,640.9177446,921.6029263,1460.524836,937.715082,1503.171746,930.2904726,647.0026552,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-11.18350744,-13.81058694,-2.627079508,-131.3539754
922.7806199,640.9177401,921.6029197,1460.603887,937.8145564,1503.171735,930.290466,647.1021316,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.95387786,-14.04410896,-3.090231099,-154.5115549
922.8581074,640.9177355,921.6029131,1460.681371,937.9156254,1503.171724,930.2904593,647.2032027,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.7444528,-14.2570981,-3.5126453,-175.6322649
922.9341647,640.9177309,921.6029066,1460.757424,938.0181489,1503.171714,930.2904527,647.3057283,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.55344514,-14.45134176,-3.897896627,-194.8948313
923.0089177,640.9177263,921.6029,1460.832173,938.1219987,1503.171703,930.290446,647.4095801,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.37922458,-14.62847053,-4.24924595,-212.4622974
923.0824808,640.9177218,921.6028934,1460.905733,938.2270578,1503.171692,930.2904394,647.5146413,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.2203039,-14.78997191,-4.569668013,-228.4834006
923.1549586,640.9177172,921.6028868,1460.978207,938.3332196,1503.171681,930.2904327,647.6208052,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-10.07532638,-14.93720292,-4.861876541,-243.093827
923.2264462,640.9177126,921.6028802,1461.04969,938.4403865,1503.171671,930.2904261,647.7279742,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.94305437,-15.07140151,-5.128347146,-256.4173572
923.2970304,640.917708,921.6028736,1461.120271,938.5484694,1503.17166,930.2904195,647.8360592,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.822358825,-15.19369704,-5.371338213,-268.5669106
923.3667901,640.9177034,921.6028671,1461.190027,938.6573871,1503.171649,930.2904128,647.9449789,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.712209787,-15.30511976,-5.59290997,-279.6454984
923.4357974,640.9176989,921.6028605,1461.25903,938.7670651,1503.171638,930.2904062,648.054659,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.611667685,-15.40660955,-5.794941865,-289.7470932
923.5041177,640.9176943,921.6028539,1461.327347,938.8774357,1503.171628,930.2903995,648.1650316,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.519875406,-15.49902385,-5.979148439,-298.9574219
923.5718109,640.9176897,921.6028473,1461.395036,938.9884367,1503.171617,930.2903929,648.2760348,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.436051064,-15.58314485,-6.147093788,-307.3546893
923.6389312,640.9176851,921.6028407,1461.462152,939.1000115,1503.171606,930.2903862,648.3876117,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.35948139,-15.65968616,-6.300204766,-315.0102382
923.7055281,640.9176806,921.6028341,1461.528745,939.2121083,1503.171596,930.2903796,648.4997106,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.289515721,-15.72929875,-6.439783028,-321.9891514
923.7716468,640.917676,921.6028276,1461.59486,939.3246798,1503.171585,930.2903729,648.612284,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.225560501,-15.79257652,-6.567016018,-328.3508008
923.8373282,640.9176714,921.602821,1461.660538,939.4376825,1503.171574,930.2903663,648.7252888,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.167074272,-15.85006125,-6.682986983,-334.1493491
